grid_size,obstacle_density,seed,algorithm,path_length,path_cost,nodes_explored,runtime_ms,peak_memory_kb,found_path
20,0.1,0,BFS,39,38.0,360,6.5357,139.34,True
20,0.1,0,DFS,163,162.0,206,5.504,222.29,True
20,0.1,0,Dijkstra,39,38.0,360,5.6252,88.12,True
20,0.1,0,A*,39,38.0,326,4.9168,88.55,True
20,0.1,0,Greedy,41,40.0,41,0.4848,8.45,True
20,0.1,1,BFS,39,38.0,355,4.0431,119.66,True
20,0.1,1,DFS,109,108.0,183,4.3245,136.11,True
20,0.1,1,Dijkstra,39,38.0,355,4.367,86.09,True
20,0.1,1,A*,39,38.0,307,4.2923,67.02,True
20,0.1,1,Greedy,45,44.0,49,0.5886,14.87,True
20,0.1,2,BFS,0,inf,2,0.0491,1.38,False
20,0.1,2,DFS,0,inf,2,0.0343,0.6,False
20,0.1,2,Dijkstra,0,inf,2,0.0305,0.62,False
20,0.1,2,A*,0,inf,2,0.0288,0.62,False
20,0.1,2,Greedy,0,inf,2,0.026,0.62,False
20,0.1,3,BFS,39,38.0,360,4.3729,120.39,True
20,0.1,3,DFS,145,144.0,182,4.1361,162.84,True
20,0.1,3,Dijkstra,39,38.0,360,5.4867,86.47,True
20,0.1,3,A*,39,38.0,329,4.5169,86.66,True
20,0.1,3,Greedy,45,44.0,45,0.5236,14.23,True
20,0.1,4,BFS,39,38.0,356,4.6472,123.62,True
20,0.1,4,DFS,121,120.0,223,3.7317,202.55,True
20,0.1,4,Dijkstra,39,38.0,356,4.6483,86.09,True
20,0.1,4,A*,39,38.0,239,3.4424,34.8,True
20,0.1,4,Greedy,41,40.0,44,0.4826,8.05,True
20,0.2,0,BFS,39,38.0,327,5.9149,100.23,True
20,0.2,0,DFS,115,114.0,197,2.6844,136.78,True
20,0.2,0,Dijkstra,39,38.0,327,4.241,65.98,True
20,0.2,0,A*,39,38.0,271,3.8523,34.69,True
20,0.2,0,Greedy,41,40.0,42,0.4588,7.99,True
20,0.2,1,BFS,39,38.0,320,3.4525,99.55,True
20,0.2,1,DFS,111,110.0,149,2.3486,96.75,True
20,0.2,1,Dijkstra,39,38.0,320,3.764,66.0,True
20,0.2,1,A*,39,38.0,276,3.8775,34.79,True
20,0.2,1,Greedy,49,48.0,54,0.668,14.23,True
20,0.2,2,BFS,0,inf,2,0.1093,1.38,False
20,0.2,2,DFS,0,inf,2,0.0478,0.6,False
20,0.2,2,Dijkstra,0,inf,2,0.033,0.68,False
20,0.2,2,A*,0,inf,2,0.0317,0.62,False
20,0.2,2,Greedy,0,inf,2,0.028,0.62,False
20,0.2,3,BFS,39,38.0,325,7.0304,100.02,True
20,0.2,3,DFS,103,102.0,219,2.6991,129.27,True
20,0.2,3,Dijkstra,39,38.0,325,3.5791,66.41,True
20,0.2,3,A*,39,38.0,280,4.3706,35.23,True
20,0.2,3,Greedy,43,42.0,44,0.6075,8.06,True
20,0.2,4,BFS,39,38.0,311,3.9096,105.01,True
20,0.2,4,DFS,111,110.0,130,1.8338,76.26,True
20,0.2,4,Dijkstra,39,38.0,311,3.2877,65.94,True
20,0.2,4,A*,39,38.0,180,2.3519,34.7,True
20,0.2,4,Greedy,43,42.0,51,0.5092,8.05,True
20,0.3,0,BFS,39,38.0,282,3.609,62.5,True
20,0.3,0,DFS,81,80.0,205,4.5756,94.22,True
20,0.3,0,Dijkstra,39,38.0,283,2.8228,34.25,True
